CAUSE,DT,AGE,SEX,RACECOLOR,DEATH_COUNT,DEATH_RATE,DEATHS_STANDARDIZED,DEATHS_STANDARDIZED_BR
A09,2003-12-06,"[70.0, 75.0)",Male,White,1,0.5808010407954651,3.7374584349772526,1.3656673121406881
A09,2004-02-13,"[0.0, 5.0)",Male,Brown,1,0.5329382484451527,0.2813526810501281,0.43485870383107805
A09,2004-02-21,"[45.0, 50.0)",Male,Brown,1,0.5329382484451527,0.5137249358445658,0.6429781297030586
A09,2004-08-27,"[0.0, 5.0)",Male,White,1,0.5329382484451527,0.2813526810501281,0.43485870383107805
A09,2004-11-21,"[0.0, 5.0)",Male,White,1,0.5329382484451527,0.2813526810501281,0.43485870383107805
A09,2004-12-15,"[0.0, 5.0)",Male,Brown,1,0.5329382484451527,0.2813526810501281,0.43485870383107805
A09,2005-09-22,"[85.0, 90.0)",Female,White,1,0.48038815362813153,16.33973311660311,1.8529257354227928
A09,2005-10-28,"[55.0, 60.0)",Male,Brown,1,0.48038815362813153,0.8348768745709618,0.7188289890055981
A09,2005-12-05,"[75.0, 80.0)",Male,White,1,0.48038815362813153,5.199005991646445,1.2446420344001587
A09,2006-01-31,"[90.0, 95.0)",Female,Brown,1,0.452716070062339,35.92984683034437,1.6599589235619099
A09,2006-03-24,"[0.0, 5.0)",Male,Brown,1,0.452716070062339,0.2390011984280113,0.3694002522903343
A09,2006-04-15,"[75.0, 80.0)",Male,Brown,1,0.452716070062339,4.899524567774231,1.1729461815251507
A09,2006-05-20,"[75.0, 80.0)",Female,Brown,1,0.452716070062339,4.491230853793046,1.4524640581166712
A09,2006-10-23,"[0.0, 5.0)",Female,White,1,0.452716070062339,0.2466579873936684,0.3677670592039596
A09,2006-12-10,"[0.0, 5.0)",Male,Indigenous,1,0.452716070062339,0.2390011984280113,0.3694002522903343
A09,2007-07-02,"[20.0, 25.0)",Male,White,1,0.49395156310972144,0.20453480874108546,0.38828888091407665
A09,2007-08-15,"[80.0, 85.0)",Male,Brown,1,0.49395156310972144,10.691592275102195,1.5716640644400226
A09,2007-11-13,"[0.0, 5.0)",Male,Brown,1,0.49395156310972144,0.2607705432951755,0.4030469517170233
A09,2007-12-14,"[0.0, 5.0)",Male,Brown,1,0.49395156310972144,0.2607705432951755,0.4030469517170233
A09,2007-12-29,"[95.0, 100.0)",Female,Black,1,0.49395156310972144,117.60751502612415,1.975806252438886
A09,2008-01-14,"[75.0, 80.0)",Female,Black,1,0.5434487256127385,5.3913564048882785,1.7435646613408693
A09,2008-01-18,"[80.0, 85.0)",Female,White,1,0.5434487256127385,9.953273362870666,2.173794902450954
A09,2008-02-17,"[65.0, 70.0)",Female,Brown,1,0.5434487256127385,2.396158402172568,1.378749544610096
A09,2008-03-08,"[70.0, 75.0)",Female,Black,1,0.5434487256127385,3.5942376032588528,1.6454419747719031
A09,2008-03-21,"[80.0, 85.0)",Female,Brown,1,0.5434487256127385,9.953273362870666,2.173794902450954
A09,2008-03-30,"[75.0, 80.0)",Male,Brown,1,0.5434487256127385,5.881479714423576,1.408026243633004
A09,2009-07-01,"[65.0, 70.0)",Male,White,1,0.530096212462562,2.1760928262009935,1.0693320147951684
A09,2009-11-18,"[60.0, 65.0)",Male,Brown,1,0.530096212462562,1.4342429990870182,0.9577874747903109
A09,2009-12-31,"[0.0, 5.0)",Male,Brown,1,0.530096212462562,0.27985229250478405,0.43253970329539426
A09,2010-02-10,"[20.0, 25.0)",Female,Brown,1,0.4717448426495077,0.18473717209018942,0.3507050474960156
A09,2010-02-28,"[0.0, 5.0)",Female,Brown,1,0.4717448426495077,0.25702563073417656,0.3832252154246572
A09,2010-04-05,"[0.0, 5.0)",Male,White,1,0.4717448426495077,0.24904700805063232,0.38492705564305735
A09,2010-04-22,"[0.0, 5.0)",Male,Indigenous,1,0.4717448426495077,0.24904700805063232,0.38492705564305735
A09,2010-09-13,"[70.0, 75.0)",Female,White,1,0.4717448426495077,3.120005573078755,1.4283385513554543
A09,2011-01-21,"[85.0, 90.0)",Female,Black,1,0.424962284597242,14.454499476096663,1.6391402405893618
