CAUSE,DT,AGE,SEX,RACECOLOR,DEATH_COUNT,DEATH_RATE,DEATHS_STANDARDIZED,DEATHS_STANDARDIZED_BR
X959,2016-01-08,"[50.0, 55.0)",Male,Brown,1,0.30635471587131874,0.3818931885705793,0.4057997021750976
X959,2016-01-18,"[25.0, 30.0)",Male,Brown,1,0.30635471587131874,0.14443880993461516,0.2693494927660704
X959,2016-03-14,"[25.0, 30.0)",Male,Brown,1,0.30635471587131874,0.14443880993461516,0.2693494927660704
X959,2016-03-22,"[30.0, 35.0)",Male,Brown,1,0.30635471587131874,0.16729724545179045,0.2845726145134956
X959,2016-03-29,"[25.0, 30.0)",Male,Indigenous,1,0.30635471587131874,0.14443880993461516,0.2693494927660704
X959,2016-04-06,"[30.0, 35.0)",Male,Brown,1,0.30635471587131874,0.16729724545179045,0.2845726145134956
X959,2016-05-08,"[55.0, 60.0)",Male,Brown,1,0.30635471587131874,0.5324204307808805,0.45841399090233814
X959,2016-05-27,"[20.0, 25.0)",Male,Brown,1,0.30635471587131874,0.1430227431705503,0.2715143756349727
X959,2016-06-05,"[65.0, 70.0)",Male,Brown,1,0.30635471587131874,1.2156933169496775,0.5973916959490716
X959,2016-06-30,"[20.0, 25.0)",Female,Black,1,0.30635471587131874,0.137108268828911,0.2602863375448047
X959,2016-07-12,"[20.0, 25.0)",Male,Brown,1,0.30635471587131874,0.1430227431705503,0.2715143756349727
X959,2016-08-02,"[35.0, 40.0)",Male,Brown,1,0.30635471587131874,0.2084045686199447,0.3107312118123375
X959,2016-08-30,"[30.0, 35.0)",Male,Brown,1,0.30635471587131874,0.16729724545179045,0.2845726145134956
X959,2016-08-31,"[70.0, 75.0)",Male,White,1,0.30635471587131874,1.7790633906580648,0.6500697629464569
X959,2016-11-15,"[25.0, 30.0)",Male,Brown,1,0.30635471587131874,0.14443880993461516,0.2693494927660704
X959,2016-11-15,"[35.0, 40.0)",Male,Brown,1,0.30635471587131874,0.2084045686199447,0.3107312118123375
X959,2016-11-16,"[25.0, 30.0)",Male,Brown,1,0.30635471587131874,0.14443880993461516,0.2693494927660704
X959,2016-11-18,"[15.0, 20.0)",Male,Brown,1,0.30635471587131874,0.1421863528596114,0.26813502422265517
X959,2016-11-18,"[40.0, 45.0)",Male,Brown,1,0.30635471587131874,0.2431386633899355,0.33801136984468844
X959,2016-11-29,"[50.0, 55.0)",Female,Brown,1,0.30635471587131874,0.38593438633323096,0.4506169894826805
X959,2016-12-10,"[20.0, 25.0)",Male,Brown,2,0.6127094317426375,0.2860454863411006,0.5430287512699454
X959,2016-12-14,"[20.0, 25.0)",Male,Brown,1,0.30635471587131874,0.1430227431705503,0.2715143756349727
X959,2016-12-14,"[35.0, 40.0)",Male,Brown,1,0.30635471587131874,0.2084045686199447,0.3107312118123375
X959,2016-12-15,"[20.0, 25.0)",Male,Brown,2,0.6127094317426375,0.2860454863411006,0.5430287512699454
X959,2016-12-15,"[25.0, 30.0)",Male,Brown,1,0.30635471587131874,0.14443880993461516,0.2693494927660704
X959,2016-12-18,"[20.0, 25.0)",Male,Brown,1,0.30635471587131874,0.1430227431705503,0.2715143756349727
X959,2016-12-22,"[40.0, 45.0)",Male,Brown,1,0.30635471587131874,0.2431386633899355,0.33801136984468844
X959,2016-12-28,"[15.0, 20.0)",Male,Brown,1,0.30635471587131874,0.1421863528596114,0.26813502422265517
X959,2016-12-28,"[20.0, 25.0)",Male,Brown,1,0.30635471587131874,0.1430227431705503,0.2715143756349727
X959,2016-12-29,"[20.0, 25.0)",Male,Brown,1,0.30635471587131874,0.1430227431705503,0.2715143756349727
X959,2017-01-11,"[30.0, 35.0)",Male,Brown,1,0.3011866755014758,0.16447503030880065,0.2797720265552699
X959,2017-01-25,"[15.0, 20.0)",Female,Brown,1,0.3011866755014758,0.1353039871974285,0.2511783218333063
X959,2017-02-16,"[35.0, 40.0)",Male,White,1,0.3011866755014758,0.20488889489896311,0.305489342294354
X959,2017-02-27,"[20.0, 25.0)",Female,Brown,1,0.3011866755014758,0.1347953255914231,0.2558954461027576
X959,2017-03-09,"[25.0, 30.0)",Male,Brown,1,0.3011866755014758,0.14200220438542,0.26480571073793124
X959,2017-04-25,"[20.0, 25.0)",Male,Black,1,0.3011866755014758,0.14061002591105315,0.2669340731895433
X959,2017-05-16,"[20.0, 25.0)",Male,Brown,1,0.3011866755014758,0.14061002591105315,0.2669340731895433
X959,2017-06-26,"[25.0, 30.0)",Male,Brown,1,0.3011866755014758,0.14200220438542,0.26480571073793124
X959,2017-06-29,"[10.0, 15.0)",Male,Brown,1,0.3011866755014758,0.13429047418471365,0.2577571361501394
X959,2017-07-11,"[10.0, 15.0)",Male,Brown,1,0.3011866755014758,0.13429047418471365,0.2577571361501394
X959,2017-07-12,"[60.0, 65.0)",Male,Brown,1,0.3011866755014758,0.7548538233119695,0.5040913832077333
X959,2017-07-18,"[15.0, 20.0)",Male,Brown,1,0.3011866755014758,0.1397877450577721,0.26361172962994667
X959,2017-07-23,"[15.0, 20.0)",Male,Brown,1,0.3011866755014758,0.1397877450577721,0.26361172962994667
X959,2017-07-25,"[20.0, 25.0)",Male,Brown,1,0.3011866755014758,0.14061002591105315,0.2669340731895433
X959,2017-07-30,"[25.0, 30.0)",Male,Brown,1,0.3011866755014758,0.14200220438542,0.26480571073793124
X959,2017-08-15,"[15.0, 20.0)",Male,White,1,0.3011866755014758,0.1397877450577721,0.26361172962994667
X959,2017-08-15,"[20.0, 25.0)",Male,Black,1,0.3011866755014758,0.14061002591105315,0.2669340731895433
X959,2017-08-17,"[35.0, 40.0)",Male,Brown,1,0.3011866755014758,0.20488889489896311,0.305489342294354
X959,2017-08-18,"[15.0, 20.0)",Male,Brown,1,0.3011866755014758,0.1397877450577721,0.26361172962994667
X959,2017-08-19,"[30.0, 35.0)",Male,Brown,1,0.3011866755014758,0.16447503030880065,0.2797720265552699
X959,2017-08-20,"[40.0, 45.0)",Male,Brown,1,0.3011866755014758,0.2390370440487903,0.3323092986366284
X959,2017-08-24,"[50.0, 55.0)",Male,Brown,1,0.3011866755014758,0.3754508545268958,0.3989540780202795
X959,2017-09-06,"[35.0, 40.0)",Male,Brown,1,0.3011866755014758,0.20488889489896311,0.305489342294354
X959,2017-09-18,"[50.0, 55.0)",Male,Brown,1,0.3011866755014758,0.3754508545268958,0.3989540780202795
X959,2017-10-21,"[20.0, 25.0)",Male,Brown,1,0.3011866755014758,0.14061002591105315,0.2669340731895433
X959,2017-10-31,"[50.0, 55.0)",Male,Brown,1,0.3011866755014758,0.3754508545268958,0.3989540780202795
X959,2017-11-11,"[50.0, 55.0)",Male,Brown,1,0.3011866755014758,0.3754508545268958,0.3989540780202795
X959,2017-12-01,"[20.0, 25.0)",Male,Brown,1,0.3011866755014758,0.14061002591105315,0.2669340731895433
X959,2017-12-04,"[50.0, 55.0)",Male,Brown,1,0.3011866755014758,0.3754508545268958,0.3989540780202795
X959,2017-12-11,"[15.0, 20.0)",Female,Black,1,0.3011866755014758,0.1353039871974285,0.2511783218333063
X959,2017-12-22,"[40.0, 45.0)",Male,Brown,1,0.3011866755014758,0.2390370440487903,0.3323092986366284
X959,2017-12-30,"[30.0, 35.0)",Male,Brown,1,0.3011866755014758,0.16447503030880065,0.2797720265552699
X959,2018-01-03,"[15.0, 20.0)",Male,Brown,1,0.2664009760931764,0.12364289245947109,0.2331657666000706
X959,2018-01-04,"[60.0, 65.0)",Male,White,1,0.2664009760931764,0.6676716192811438,0.44587110735594787
X959,2018-01-08,"[15.0, 20.0)",Male,Brown,1,0.2664009760931764,0.12364289245947109,0.2331657666000706
X959,2018-01-18,"[20.0, 25.0)",Male,Brown,1,0.2664009760931764,0.12437020359158563,0.23610439449826617
X959,2018-01-28,"[15.0, 20.0)",Male,Brown,1,0.2664009760931764,0.12364289245947109,0.2331657666000706
X959,2018-02-19,"[20.0, 25.0)",Male,Brown,1,0.2664009760931764,0.12437020359158563,0.23610439449826617
X959,2018-02-21,"[30.0, 35.0)",Male,Brown,1,0.2664009760931764,0.1454789078708914,0.24745962228838628
X959,2018-03-11,"[25.0, 30.0)",Male,Brown,1,0.2664009760931764,0.12560159174595775,0.23422184828786205
X959,2018-03-13,"[10.0, 15.0)",Male,Brown,1,0.2664009760931764,0.11878053152005369,0.22798735219959107
X959,2018-04-08,"[25.0, 30.0)",Male,Brown,1,0.2664009760931764,0.12560159174595775,0.23422184828786205
X959,2018-04-14,"[15.0, 20.0)",Male,Brown,1,0.2664009760931764,0.12364289245947109,0.2331657666000706
X959,2018-04-18,"[25.0, 30.0)",Male,Brown,1,0.2664009760931764,0.12560159174595775,0.23422184828786205
X959,2018-05-13,"[15.0, 20.0)",Male,Brown,1,0.2664009760931764,0.12364289245947109,0.2331657666000706
X959,2018-05-17,"[20.0, 25.0)",Male,Brown,1,0.2664009760931764,0.12437020359158563,0.23610439449826617
X959,2018-05-19,"[20.0, 25.0)",Male,Brown,1,0.2664009760931764,0.12437020359158563,0.23610439449826617
X959,2018-05-22,"[20.0, 25.0)",Male,Yellow,1,0.2664009760931764,0.12437020359158563,0.23610439449826617
X959,2018-05-23,"[25.0, 30.0)",Male,Brown,1,0.2664009760931764,0.12560159174595775,0.23422184828786205
X959,2018-05-28,"[20.0, 25.0)",Male,Brown,1,0.2664009760931764,0.12437020359158563,0.23610439449826617
X959,2018-06-01,"[15.0, 20.0)",Male,Brown,1,0.2664009760931764,0.12364289245947109,0.2331657666000706
X959,2018-06-06,"[15.0, 20.0)",Male,Brown,1,0.2664009760931764,0.12364289245947109,0.2331657666000706
X959,2018-06-08,"[15.0, 20.0)",Male,Brown,1,0.2664009760931764,0.12364289245947109,0.2331657666000706
X959,2018-06-08,"[20.0, 25.0)",Male,Brown,1,0.2664009760931764,0.12437020359158563,0.23610439449826617
X959,2018-06-10,"[20.0, 25.0)",Male,Brown,1,0.2664009760931764,0.12437020359158563,0.23610439449826617
X959,2018-06-12,"[25.0, 30.0)",Male,Brown,1,0.2664009760931764,0.12560159174595775,0.23422184828786205
X959,2018-06-21,"[25.0, 30.0)",Male,Brown,1,0.2664009760931764,0.12560159174595775,0.23422184828786205
X959,2018-06-23,"[20.0, 25.0)",Male,Brown,1,0.2664009760931764,0.12437020359158563,0.23610439449826617
X959,2018-06-26,"[20.0, 25.0)",Male,Brown,1,0.2664009760931764,0.12437020359158563,0.23610439449826617
X959,2018-07-06,"[20.0, 25.0)",Male,Brown,1,0.2664009760931764,0.12437020359158563,0.23610439449826617
X959,2018-07-06,"[30.0, 35.0)",Male,Brown,1,0.2664009760931764,0.1454789078708914,0.24745962228838628
X959,2018-07-10,"[20.0, 25.0)",Male,Brown,1,0.2664009760931764,0.12437020359158563,0.23610439449826617
X959,2018-07-20,"[25.0, 30.0)",Male,Brown,1,0.2664009760931764,0.12560159174595775,0.23422184828786205
X959,2018-07-25,"[20.0, 25.0)",Male,Brown,1,0.2664009760931764,0.12437020359158563,0.23610439449826617
X959,2018-07-25,"[30.0, 35.0)",Male,Brown,1,0.2664009760931764,0.1454789078708914,0.24745962228838628
X959,2018-08-04,"[25.0, 30.0)",Male,Brown,1,0.2664009760931764,0.12560159174595775,0.23422184828786205
X959,2018-08-08,"[25.0, 30.0)",Male,Brown,1,0.2664009760931764,0.12560159174595775,0.23422184828786205
X959,2018-08-13,"[35.0, 40.0)",Male,Brown,1,0.2664009760931764,0.18122515380488188,0.27020670432307886
X959,2018-08-25,"[15.0, 20.0)",Male,Brown,1,0.2664009760931764,0.12364289245947109,0.2331657666000706
X959,2018-08-25,"[25.0, 30.0)",Male,Brown,1,0.2664009760931764,0.12560159174595775,0.23422184828786205
X959,2018-08-29,"[35.0, 40.0)",Male,Brown,1,0.2664009760931764,0.18122515380488188,0.27020670432307886
X959,2018-09-03,"[15.0, 20.0)",Male,Brown,1,0.2664009760931764,0.12364289245947109,0.2331657666000706
X959,2018-09-03,"[20.0, 25.0)",Male,Brown,2,0.5328019521863528,0.24874040718317125,0.47220878899653235
X959,2018-09-06,"[45.0, 50.0)",Male,Black,1,0.2664009760931764,0.2557613057730188,0.32011085030551034
X959,2018-09-09,"[25.0, 30.0)",Male,Brown,1,0.2664009760931764,0.12560159174595775,0.23422184828786205
X959,2018-09-13,"[30.0, 35.0)",Male,Brown,1,0.2664009760931764,0.1454789078708914,0.24745962228838628
X959,2018-09-17,"[15.0, 20.0)",Male,Brown,1,0.2664009760931764,0.12364289245947109,0.2331657666000706
X959,2018-09-20,"[15.0, 20.0)",Male,Brown,1,0.2664009760931764,0.12364289245947109,0.2331657666000706
X959,2018-09-20,"[25.0, 30.0)",Male,Brown,2,0.5328019521863528,0.2512031834919155,0.4684436965757241
X959,2018-09-20,"[45.0, 50.0)",Male,Brown,1,0.2664009760931764,0.2557613057730188,0.32011085030551034
X959,2018-09-21,"[15.0, 20.0)",Male,Brown,1,0.2664009760931764,0.12364289245947109,0.2331657666000706
X959,2018-09-22,"[20.0, 25.0)",Male,Brown,1,0.2664009760931764,0.12437020359158563,0.23610439449826617
X959,2018-09-23,"[35.0, 40.0)",Male,Brown,1,0.2664009760931764,0.18122515380488188,0.27020670432307886
X959,2018-09-25,"[25.0, 30.0)",Male,Brown,1,0.2664009760931764,0.12560159174595775,0.23422184828786205
X959,2018-09-25,"[50.0, 55.0)",Male,White,1,0.2664009760931764,0.33208797817648517,0.35287668561033314
X959,2018-09-28,"[20.0, 25.0)",Male,Brown,1,0.2664009760931764,0.12437020359158563,0.23610439449826617
X959,2018-09-29,"[15.0, 20.0)",Male,Brown,1,0.2664009760931764,0.12364289245947109,0.2331657666000706
X959,2018-10-08,"[25.0, 30.0)",Female,Brown,1,0.2664009760931764,0.11833732058154602,0.22514858613844946
X959,2018-10-09,"[60.0, 65.0)",Male,Brown,1,0.2664009760931764,0.6676716192811438,0.44587110735594787
X959,2018-10-10,"[20.0, 25.0)",Male,Brown,1,0.2664009760931764,0.12437020359158563,0.23610439449826617
X959,2018-10-12,"[15.0, 20.0)",Male,Brown,1,0.2664009760931764,0.12364289245947109,0.2331657666000706
X959,2018-10-16,"[25.0, 30.0)",Male,Brown,1,0.2664009760931764,0.12560159174595775,0.23422184828786205
X959,2018-10-16,"[30.0, 35.0)",Male,White,1,0.2664009760931764,0.1454789078708914,0.24745962228838628
X959,2018-10-17,"[40.0, 45.0)",Male,Brown,1,0.2664009760931764,0.21142934610569555,0.293929076956138
X959,2018-10-17,"[60.0, 65.0)",Male,Brown,1,0.2664009760931764,0.6676716192811438,0.44587110735594787
X959,2018-10-18,"[20.0, 25.0)",Male,Brown,1,0.2664009760931764,0.12437020359158563,0.23610439449826617
X959,2018-10-24,"[20.0, 25.0)",Male,Brown,1,0.2664009760931764,0.12437020359158563,0.23610439449826617
X959,2018-10-25,"[15.0, 20.0)",Male,Brown,1,0.2664009760931764,0.12364289245947109,0.2331657666000706
X959,2018-10-25,"[20.0, 25.0)",Male,Brown,1,0.2664009760931764,0.12437020359158563,0.23610439449826617
X959,2018-10-26,"[15.0, 20.0)",Male,Brown,1,0.2664009760931764,0.12364289245947109,0.2331657666000706
X959,2018-10-27,"[25.0, 30.0)",Male,Brown,1,0.2664009760931764,0.12560159174595775,0.23422184828786205
X959,2018-10-30,"[25.0, 30.0)",Male,White,1,0.2664009760931764,0.12560159174595775,0.23422184828786205
X959,2018-11-01,"[20.0, 25.0)",Male,Brown,1,0.2664009760931764,0.12437020359158563,0.23610439449826617
X959,2018-11-01,"[30.0, 35.0)",Male,Brown,1,0.2664009760931764,0.1454789078708914,0.24745962228838628
X959,2018-11-02,"[20.0, 25.0)",Male,Brown,1,0.2664009760931764,0.12437020359158563,0.23610439449826617
